User_ID,Age,Income,City_Tier,Device_Type,Traffic_Source,Pages_Viewed,Products_Viewed,Time_On_Site,Previous_Purchases,Discount_Seen,Browser_Version,Campaign_Code,Converted
U00001,41,50133,Tier2,Desktop,Organic,5,4,336,3,0,Firefox_v121,CAMP_B,0
U00002,28,82578,Tier3,Desktop,Organic,6,6,242,2,0,Edge_v119,CAMP_C,0
U00003,32,85600,Tier3,Mobile,Paid,8,5,232,3,1,Firefox_v121,CAMP_B,0
U00004,43,85032,Tier2,Tablet,Organic,11,2,38,1,1,Edge_v119,CAMP_B,0
U00005,52,136451,Tier1,Desktop,Direct,10,3,92,1,1,Firefox_v121,CAMP_A,0
U00006,40,75482,Tier1,Mobile,Organic,6,6,160,2,1,Edge_v119,CAMP_B,0
U00007,36,132620,Tier1,Desktop,Paid,5,6,296,2,0,Chrome_v120,CAMP_B,0
U00008,29,68743,Tier3,Mobile,Organic,4,9,253,3,0,Chrome_v120,CAMP_C,0
U00009,24,148375,Tier2,Desktop,Paid,8,6,215,4,0,Edge_v119,CAMP_D,0
U00010,46,123505,Tier3,Mobile,Paid,12,12,359,2,1,Firefox_v121,CAMP_C,0
U00011,33,104097,Tier1,Desktop,Organic,11,5,835,4,0,Safari_v17,CAMP_A,0
U00012,46,96135,Tier3,Mobile,Paid,4,7,749,1,0,Safari_v17,CAMP_A,0
U00013,31,238210,Tier3,Desktop,Paid,9,6,246,2,0,Safari_v17,CAMP_D,0
U00014,28,114230,Tier1,Mobile,Direct,13,8,298,4,1,Safari_v17,CAMP_B,0
U00015,39,35968,Tier1,Desktop,Organic,6,7,106,3,0,Edge_v119,CAMP_A,0
U00016,34,69392,Tier1,Desktop,Paid,3,3,119,1,0,Chrome_v120,CAMP_D,0
U00017,22,51081,Tier2,Mobile,Direct,7,6,107,3,0,Chrome_v120,CAMP_C,0
U00018,53,206630,Tier2,Desktop,Email,6,5,155,1,0,Safari_v17,CAMP_C,0
U00019,28,126862,Tier2,Mobile,Direct,10,2,30,3,0,Chrome_v120,CAMP_C,0
U00020,44,202636,Tier1,Desktop,Direct,12,5,172,6,0,Edge_v119,CAMP_B,1
U00021,43,37949,Tier2,Mobile,Paid,11,6,41,4,1,Safari_v17,CAMP_B,0
U00022,22,115960,Tier1,Desktop,Social,10,6,533,1,0,Edge_v119,CAMP_D,0
U00023,24,26404,Tier1,Desktop,Organic,6,2,234,3,1,Edge_v119,CAMP_A,0
U00024,31,23033,Tier2,Mobile,Paid,12,5,414,1,1,Firefox_v121,CAMP_C,0
U00025,26,47184,Tier2,Mobile,Email,8,4,73,3,1,Edge_v119,CAMP_B,0
U00026,52,148364,Tier3,Mobile,Paid,8,6,128,0,1,Firefox_v121,CAMP_B,0
U00027,32,33005,Tier1,Desktop,Social,10,2,24,2,0,Safari_v17,CAMP_A,0
U00028,43,59273,Tier2,Mobile,Social,8,2,607,4,1,Edge_v119,CAMP_C,0
U00029,40,122186,Tier2,Mobile,Organic,6,4,302,3,1,Chrome_v120,CAMP_C,0
U00030,37,99493,Tier1,Desktop,Email,6,6,154,1,0,Safari_v17,CAMP_A,0
U00031,35,226321,Tier2,Mobile,Paid,7,11,1159,6,1,Edge_v119,CAMP_D,0
U00032,47,59995,Tier1,Desktop,Organic,4,2,65,1,0,Edge_v119,CAMP_D,0
U00033,26,45936,Tier1,Mobile,Email,4,4,119,1,1,Chrome_v120,CAMP_A,0
U00034,52,31048,Tier3,Mobile,Paid,12,9,219,0,0,Firefox_v121,CAMP_A,0
U00035,22,48011,Tier3,Desktop,Email,9,7,338,3,1,Edge_v119,CAMP_D,0
U00036,42,30879,Tier3,Mobile,Paid,11,4,241,1,1,Edge_v119,CAMP_A,0
U00037,20,20376,Tier2,Mobile,Paid,9,2,536,3,0,Chrome_v120,CAMP_C,0
U00038,31,194470,Tier1,Desktop,Email,7,5,76,1,1,Safari_v17,CAMP_D,1
U00039,35,61657,Tier2,Mobile,Social,6,0,814,2,1,Edge_v119,CAMP_D,0
U00040,30,283475,Tier2,Tablet,Paid,9,2,277,2,0,Firefox_v121,CAMP_D,1
U00041,33,36185,Tier1,Tablet,Organic,7,4,154,1,1,Firefox_v121,CAMP_C,0
U00042,21,46291,Tier2,Mobile,Email,5,4,285,0,0,Chrome_v120,CAMP_A,0
U00043,25,37600,Tier1,Mobile,Organic,7,4,50,3,1,Firefox_v121,CAMP_B,0
U00044,39,40763,Tier3,Desktop,Email,9,3,211,3,0,Edge_v119,CAMP_B,0
U00045,35,101130,Tier1,Mobile,Paid,7,6,193,1,0,Firefox_v121,CAMP_C,0
U00046,28,84102,Tier2,Mobile,Social,4,6,21,0,0,Edge_v119,CAMP_C,0
U00047,48,101239,Tier2,Desktop,Direct,5,2,306,1,0,Chrome_v120,CAMP_A,0
U00048,22,133968,Tier2,Mobile,Organic,11,4,192,1,0,Firefox_v121,CAMP_B,0
U00049,31,116356,Tier2,Desktop,Social,4,3,653,2,1,Edge_v119,CAMP_D,1
U00050,29,32692,Tier1,Mobile,Email,6,6,660,3,0,Safari_v17,CAMP_C,0
U00051,41,43726,Tier3,Mobile,Email,6,1,93,0,1,Edge_v119,CAMP_B,0
U00052,35,64401,Tier3,Mobile,Paid,5,10,360,3,1,Edge_v119,CAMP_D,1
U00053,33,500000,Tier3,Tablet,Social,9,4,1199,2,1,Chrome_v120,CAMP_D,1
U00054,18,95171,Tier3,Desktop,Email,8,9,75,5,0,Edge_v119,CAMP_A,0
U00055,43,63832,Tier2,Desktop,Email,8,7,76,0,1,Chrome_v120,CAMP_C,0
U00056,32,89676,Tier3,Mobile,Email,4,2,18,3,1,Edge_v119,CAMP_D,0
U00057,36,41694,Tier1,Mobile,Paid,4,5,340,1,1,Edge_v119,CAMP_C,0
U00058,27,70084,Tier1,Mobile,Direct,10,4,411,5,1,Edge_v119,CAMP_B,0
U00059,25,106170,Tier1,Mobile,Paid,4,4,383,2,1,Chrome_v120,CAMP_B,0
